Ax, Ay, Az, Timestamp
133,128,152, 2023-09-18 11:29:00 AM
133,127,152, 2023-09-18 11:29:00 AM
133,127,152, 2023-09-18 11:29:00 AM
133,127,152, 2023-09-18 11:29:00 AM
133,127,152, 2023-09-18 11:29:00 AM
133,127,152, 2023-09-18 11:29:00 AM
133,128,152, 2023-09-18 11:29:00 AM
133,128,152, 2023-09-18 11:29:00 AM
133,128,152, 2023-09-18 11:29:00 AM
133,128,152, 2023-09-18 11:29:00 AM
133,128,152, 2023-09-18 11:29:00 AM
133,127,152, 2023-09-18 11:29:00 AM
133,127,152, 2023-09-18 11:29:01 AM
133,127,152, 2023-09-18 11:29:01 AM
133,127,152, 2023-09-18 11:29:01 AM
133,127,152, 2023-09-18 11:29:01 AM
133,127,152, 2023-09-18 11:29:01 AM
133,127,152, 2023-09-18 11:29:01 AM
137,128,154, 2023-09-18 11:29:01 AM
123,130,190, 2023-09-18 11:29:01 AM
43,201,178, 2023-09-18 11:29:01 AM
129,162,113, 2023-09-18 11:29:01 AM
238,53,143, 2023-09-18 11:29:01 AM
160,126,138, 2023-09-18 11:29:01 AM
146,133,149, 2023-09-18 11:29:01 AM
142,132,154, 2023-09-18 11:29:01 AM
137,135,151, 2023-09-18 11:29:01 AM
139,128,151, 2023-09-18 11:29:01 AM
140,124,150, 2023-09-18 11:29:01 AM
138,124,151, 2023-09-18 11:29:01 AM
137,125,150, 2023-09-18 11:29:01 AM
136,127,152, 2023-09-18 11:29:01 AM
131,127,160, 2023-09-18 11:29:01 AM
100,100,125, 2023-09-18 11:29:01 AM
207,8,105, 2023-09-18 11:29:01 AM
201,140,154, 2023-09-18 11:29:01 AM
107,211,169, 2023-09-18 11:29:01 AM
140,167,161, 2023-09-18 11:29:02 AM
135,158,150, 2023-09-18 11:29:02 AM
139,134,146, 2023-09-18 11:29:02 AM
135,134,151, 2023-09-18 11:29:02 AM
134,127,155, 2023-09-18 11:29:02 AM
141,122,149, 2023-09-18 11:29:02 AM
140,118,141, 2023-09-18 11:29:02 AM
139,118,155, 2023-09-18 11:29:02 AM
140,150,231, 2023-09-18 11:29:02 AM
186,161,243, 2023-09-18 11:29:02 AM
213,130,138, 2023-09-18 11:29:02 AM
132,134,39, 2023-09-18 11:29:02 AM
110,101,85, 2023-09-18 11:29:02 AM
115,139,138, 2023-09-18 11:29:02 AM
110,137,146, 2023-09-18 11:29:02 AM
125,128,151, 2023-09-18 11:29:02 AM
128,132,154, 2023-09-18 11:29:02 AM
133,130,156, 2023-09-18 11:29:02 AM
130,129,156, 2023-09-18 11:29:02 AM
132,127,157, 2023-09-18 11:29:02 AM
132,127,157, 2023-09-18 11:29:02 AM
126,129,153, 2023-09-18 11:29:02 AM
128,128,153, 2023-09-18 11:29:02 AM
128,129,153, 2023-09-18 11:29:02 AM
128,129,152, 2023-09-18 11:29:03 AM
129,129,152, 2023-09-18 11:29:03 AM
127,127,154, 2023-09-18 11:29:03 AM
126,128,154, 2023-09-18 11:29:03 AM
127,126,154, 2023-09-18 11:29:03 AM
125,127,152, 2023-09-18 11:29:03 AM
126,127,152, 2023-09-18 11:29:03 AM
126,129,152, 2023-09-18 11:29:03 AM
125,129,152, 2023-09-18 11:29:03 AM
126,129,153, 2023-09-18 11:29:03 AM
125,129,152, 2023-09-18 11:29:03 AM
126,127,152, 2023-09-18 11:29:03 AM
126,128,152, 2023-09-18 11:29:03 AM
127,127,153, 2023-09-18 11:29:03 AM
126,128,152, 2023-09-18 11:29:03 AM
126,129,154, 2023-09-18 11:29:03 AM
127,128,153, 2023-09-18 11:29:03 AM
127,128,153, 2023-09-18 11:29:03 AM
128,128,153, 2023-09-18 11:29:03 AM
127,128,153, 2023-09-18 11:29:03 AM
127,128,152, 2023-09-18 11:29:03 AM
127,128,152, 2023-09-18 11:29:03 AM
127,128,154, 2023-09-18 11:29:03 AM
127,129,153, 2023-09-18 11:29:03 AM
127,129,153, 2023-09-18 11:29:03 AM
128,129,154, 2023-09-18 11:29:04 AM
127,129,152, 2023-09-18 11:29:04 AM
127,128,153, 2023-09-18 11:29:04 AM
127,129,153, 2023-09-18 11:29:04 AM
127,128,153, 2023-09-18 11:29:04 AM
128,128,153, 2023-09-18 11:29:04 AM
127,128,152, 2023-09-18 11:29:04 AM
127,127,152, 2023-09-18 11:29:04 AM
127,128,152, 2023-09-18 11:29:04 AM
127,128,153, 2023-09-18 11:29:04 AM
127,128,153, 2023-09-18 11:29:04 AM
127,128,153, 2023-09-18 11:29:04 AM
127,128,153, 2023-09-18 11:29:04 AM
128,128,153, 2023-09-18 11:29:04 AM
128, ,,
