Ax, Ay, Az, Timestamp
126,100,129, 2023-09-18 11:25:18 AM
124,99,127, 2023-09-18 11:25:18 AM
125,99,128, 2023-09-18 11:25:18 AM
125,100,128, 2023-09-18 11:25:18 AM
125,101,127, 2023-09-18 11:25:18 AM
123,101,127, 2023-09-18 11:25:18 AM
123,100,128, 2023-09-18 11:25:18 AM
124,100,127, 2023-09-18 11:25:18 AM
124,100,127, 2023-09-18 11:25:18 AM
123,100,126, 2023-09-18 11:25:18 AM
123,100,126, 2023-09-18 11:25:18 AM
124,99,127, 2023-09-18 11:25:18 AM
123,100,128, 2023-09-18 11:25:18 AM
123,99,127, 2023-09-18 11:25:18 AM
122,100,129, 2023-09-18 11:25:18 AM
121,101,129, 2023-09-18 11:25:18 AM
122,101,128, 2023-09-18 11:25:18 AM
121,101,128, 2023-09-18 11:25:19 AM
122,100,129, 2023-09-18 11:25:19 AM
122,101,128, 2023-09-18 11:25:19 AM
122,100,129, 2023-09-18 11:25:19 AM
123,100,128, 2023-09-18 11:25:19 AM
122,101,128, 2023-09-18 11:25:19 AM
121,100,128, 2023-09-18 11:25:19 AM
122,101,128, 2023-09-18 11:25:19 AM
122,101,129, 2023-09-18 11:25:19 AM
122,102,129, 2023-09-18 11:25:19 AM
122,101,128, 2023-09-18 11:25:19 AM
129,99,126, 2023-09-18 11:25:19 AM
128,97,130, 2023-09-18 11:25:19 AM
103,103,161, 2023-09-18 11:25:19 AM
7,136,130, 2023-09-18 11:25:19 AM
96,139,162, 2023-09-18 11:25:19 AM
249,70,107, 2023-09-18 11:25:19 AM
169,128,113, 2023-09-18 11:25:19 AM
126,116,143, 2023-09-18 11:25:19 AM
138,100,144, 2023-09-18 11:25:19 AM
121,108,137, 2023-09-18 11:25:19 AM
132,97,136, 2023-09-18 11:25:19 AM
130,101,134, 2023-09-18 11:25:19 AM
130,99,132, 2023-09-18 11:25:19 AM
135,96,129, 2023-09-18 11:25:19 AM
131,100,129, 2023-09-18 11:25:20 AM
128,103,128, 2023-09-18 11:25:20 AM
128,103,129, 2023-09-18 11:25:20 AM
128,105,131, 2023-09-18 11:25:20 AM
129,102,132, 2023-09-18 11:25:20 AM
129,101,133, 2023-09-18 11:25:20 AM
129,101,134, 2023-09-18 11:25:20 AM
128,102,132, 2023-09-18 11:25:20 AM
129,101,132, 2023-09-18 11:25:20 AM
129,102,132, 2023-09-18 11:25:20 AM
130,101,131, 2023-09-18 11:25:20 AM
130,101,132, 2023-09-18 11:25:20 AM
130,101,131, 2023-09-18 11:25:20 AM
128,101,132, 2023-09-18 11:25:20 AM
129,101,132, 2023-09-18 11:25:20 AM
129,101,132, 2023-09-18 11:25:20 AM
129,101,133, 2023-09-18 11:25:20 AM
129,102,132, 2023-09-18 11:25:20 AM
129,102,132, 2023-09-18 11:25:20 AM
128,101,131, 2023-09-18 11:25:20 AM
129,101,131, 2023-09-18 11:25:20 AM
129,101,131, 2023-09-18 11:25:20 AM
129,101,130, 2023-09-18 11:25:20 AM
130,102,131, 2023-09-18 11:25:20 AM
129,102,130, 2023-09-18 11:25:21 AM
128,101,131, 2023-09-18 11:25:21 AM
129,101,131, 2023-09-18 11:25:21 AM
128,102,131, 2023-09-18 11:25:21 AM
129,101,130, 2023-09-18 11:25:21 AM
129,102,131, 2023-09-18 11:25:21 AM
129,101,131, 2023-09-18 11:25:21 AM
129,101,130, 2023-09-18 11:25:21 AM
