Ax, Ay, Az, Timestamp
125, 126, 154, 2023-09-24 11:34:50 PM
125, 126, 154, 2023-09-24 11:34:50 PM
125, 126, 154, 2023-09-24 11:34:50 PM
125, 126, 154, 2023-09-24 11:34:50 PM
125, 126, 154, 2023-09-24 11:34:50 PM
125, 126, 154, 2023-09-24 11:34:50 PM
125, 126, 154, 2023-09-24 11:34:50 PM
127, 125, 154, 2023-09-24 11:34:50 PM
124, 126, 154, 2023-09-24 11:34:50 PM
124, 127, 157, 2023-09-24 11:34:50 PM
125, 126, 153, 2023-09-24 11:34:50 PM
125, 126, 154, 2023-09-24 11:34:50 PM
124, 126, 155, 2023-09-24 11:34:50 PM
125, 126, 154, 2023-09-24 11:34:50 PM
125, 126, 154, 2023-09-24 11:34:50 PM
125, 140, 157, 2023-09-24 11:34:50 PM
126, 123, 154, 2023-09-24 11:34:50 PM
124, 126, 154, 2023-09-24 11:34:50 PM
124, 125, 154, 2023-09-24 11:34:50 PM
126, 127, 154, 2023-09-24 11:34:50 PM
124, 125, 154, 2023-09-24 11:34:50 PM
122, 125, 154, 2023-09-24 11:34:50 PM
125, 127, 156, 2023-09-24 11:34:50 PM
125, 128, 158, 2023-09-24 11:34:50 PM
121, 125, 155, 2023-09-24 11:34:50 PM
122, 124, 154, 2023-09-24 11:34:51 PM
122, 124, 154, 2023-09-24 11:34:51 PM
122, 124, 154, 2023-09-24 11:34:51 PM
124, 123, 152, 2023-09-24 11:34:51 PM
122, 124, 155, 2023-09-24 11:34:51 PM
123, 124, 153, 2023-09-24 11:34:51 PM
124, 124, 156, 2023-09-24 11:34:51 PM
124, 124, 155, 2023-09-24 11:34:51 PM
126, 124, 153, 2023-09-24 11:34:51 PM
127, 124, 153, 2023-09-24 11:34:51 PM
127, 124, 155, 2023-09-24 11:34:51 PM
127, 125, 155, 2023-09-24 11:34:51 PM
124, 125, 154, 2023-09-24 11:34:51 PM
123, 125, 153, 2023-09-24 11:34:51 PM
126, 125, 152, 2023-09-24 11:34:51 PM
127, 126, 155, 2023-09-24 11:34:51 PM
117, 122, 152, 2023-09-24 11:34:51 PM
127, 124, 150, 2023-09-24 11:34:51 PM
121, 124, 159, 2023-09-24 11:34:51 PM
124, 125, 153, 2023-09-24 11:34:51 PM
127, 124, 160, 2023-09-24 11:34:51 PM
125, 128, 156, 2023-09-24 11:34:51 PM
123, 129, 151, 2023-09-24 11:34:51 PM
122, 128, 152, 2023-09-24 11:34:52 PM
122, 127, 156, 2023-09-24 11:34:52 PM
122, 127, 153, 2023-09-24 11:34:52 PM
123, 130, 154, 2023-09-24 11:34:52 PM
124, 128, 153, 2023-09-24 11:34:52 PM
124, 127, 155, 2023-09-24 11:34:52 PM
132, 131, 169, 2023-09-24 11:34:52 PM
129, 128, 117, 2023-09-24 11:34:52 PM
123, 127, 155, 2023-09-24 11:34:52 PM
119, 126, 164, 2023-09-24 11:34:52 PM
117, 122, 151, 2023-09-24 11:34:52 PM
116, 127, 155, 2023-09-24 11:34:52 PM
116, 125, 157, 2023-09-24 11:34:52 PM
121, 125, 155, 2023-09-24 11:34:52 PM
125, 125, 152, 2023-09-24 11:34:52 PM
121, 123, 153, 2023-09-24 11:34:52 PM
118, 125, 154, 2023-09-24 11:34:52 PM
126, 130, 152, 2023-09-24 11:34:52 PM
119, 126, 156, 2023-09-24 11:34:52 PM
113, 122, 143, 2023-09-24 11:34:52 PM
118, 124, 153, 2023-09-24 11:34:52 PM
121, 126, 153, 2023-09-24 11:34:52 PM
119, 127, 152, 2023-09-24 11:34:52 PM
119, 126, 155, 2023-09-24 11:34:52 PM
122, 128, 152, 2023-09-24 11:34:52 PM
123, 128, 158, 2023-09-24 11:34:53 PM
124, 129, 154, 2023-09-24 11:34:53 PM
122, 129, 154, 2023-09-24 11:34:53 PM
120, 127, 154, 2023-09-24 11:34:53 PM
123, 129, 152, 2023-09-24 11:34:53 PM
120, 128, 155, 2023-09-24 11:34:53 PM
117, 128, 157, 2023-09-24 11:34:53 PM
116, 130, 160, 2023-09-24 11:34:53 PM
120, 128, 159, 2023-09-24 11:34:53 PM
123, 126, 153, 2023-09-24 11:34:53 PM
124, 125, 151, 2023-09-24 11:34:53 PM
126, 124, 148, 2023-09-24 11:34:53 PM
128, 124, 147, 2023-09-24 11:34:53 PM
130, 124, 150, 2023-09-24 11:34:53 PM
134, 123, 150, 2023-09-24 11:34:53 PM
134, 125, 154, 2023-09-24 11:34:53 PM
134, 121, 152, 2023-09-24 11:34:53 PM
133, 124, 153, 2023-09-24 11:34:53 PM
130, 125, 153, 2023-09-24 11:34:53 PM
127, 127, 153, 2023-09-24 11:34:53 PM
123, 127, 148, 2023-09-24 11:34:53 PM
132, 128, 151, 2023-09-24 11:34:53 PM
188, 128, 146, 2023-09-24 11:34:53 PM
249, 151, 147, 2023-09-24 11:34:53 PM
166, 181, 112, 2023-09-24 11:34:54 PM
45, 138, 148, 2023-09-24 11:34:54 PM
16, 159, 131, 2023-09-24 11:34:54 PM
89, 118, 152, 2023-09-24 11:34:54 PM
138, 103, 154, 2023-09-24 11:34:54 PM
130, 118, 154, 2023-09-24 11:34:54 PM
127, 129, 159, 2023-09-24 11:34:54 PM
126, 132, 154, 2023-09-24 11:34:54 PM
124, 130, 152, 2023-09-24 11:34:54 PM
122, 129, 149, 2023-09-24 11:34:54 PM
