Ax, Ay, Az, Timestamp
134,127,153, 2023-09-18 11:27:41 AM
134,127,152, 2023-09-18 11:27:41 AM
134,127,152, 2023-09-18 11:27:41 AM
134,127,153, 2023-09-18 11:27:41 AM
134,127,153, 2023-09-18 11:27:41 AM
134,127,153, 2023-09-18 11:27:41 AM
134,127,153, 2023-09-18 11:27:41 AM
135,127,152, 2023-09-18 11:27:41 AM
134,127,151, 2023-09-18 11:27:41 AM
134,127,152, 2023-09-18 11:27:41 AM
134,127,152, 2023-09-18 11:27:41 AM
134,127,152, 2023-09-18 11:27:41 AM
134,127,151, 2023-09-18 11:27:41 AM
134,126,149, 2023-09-18 11:27:41 AM
127,118,138, 2023-09-18 11:27:41 AM
132,152,184, 2023-09-18 11:27:41 AM
189,185,253, 2023-09-18 11:27:41 AM
210,147,146, 2023-09-18 11:27:41 AM
165,102,67, 2023-09-18 11:27:41 AM
93,104,93, 2023-09-18 11:27:41 AM
107,120,130, 2023-09-18 11:27:41 AM
129,131,154, 2023-09-18 11:27:41 AM
127,134,155, 2023-09-18 11:27:42 AM
129,128,153, 2023-09-18 11:27:42 AM
129,124,151, 2023-09-18 11:27:42 AM
129,120,146, 2023-09-18 11:27:42 AM
128,121,149, 2023-09-18 11:27:42 AM
132,122,151, 2023-09-18 11:27:42 AM
117,124,190, 2023-09-18 11:27:42 AM
6,201,202, 2023-09-18 11:27:42 AM
32,166,67, 2023-09-18 11:27:42 AM
246,101,139, 2023-09-18 11:27:42 AM
221,121,182, 2023-09-18 11:27:42 AM
136,151,148, 2023-09-18 11:27:42 AM
133,132,161, 2023-09-18 11:27:42 AM
133,128,152, 2023-09-18 11:27:42 AM
136,124,156, 2023-09-18 11:27:42 AM
130,125,155, 2023-09-18 11:27:42 AM
132,122,153, 2023-09-18 11:27:42 AM
131,124,154, 2023-09-18 11:27:42 AM
133,123,154, 2023-09-18 11:27:42 AM
128,127,154, 2023-09-18 11:27:42 AM
130,126,154, 2023-09-18 11:27:42 AM
131,128,153, 2023-09-18 11:27:42 AM
129,129,153, 2023-09-18 11:27:42 AM
130,129,153, 2023-09-18 11:27:42 AM
128,131,153, 2023-09-18 11:27:42 AM
129,130,152, 2023-09-18 11:27:43 AM
128,131,153, 2023-09-18 11:27:43 AM
128,132,154, 2023-09-18 11:27:43 AM
130,132,155, 2023-09-18 11:27:43 AM
129,132,154, 2023-09-18 11:27:43 AM
130,131,152, 2023-09-18 11:27:43 AM
129,131,152, 2023-09-18 11:27:43 AM
129,130,152, 2023-09-18 11:27:43 AM
129,130,154, 2023-09-18 11:27:43 AM
130,129,153, 2023-09-18 11:27:43 AM
130,129,153, 2023-09-18 11:27:43 AM
129,129,152, 2023-09-18 11:27:43 AM
130,129,154, 2023-09-18 11:27:43 AM
130,129,153, 2023-09-18 11:27:43 AM
130,129,153, 2023-09-18 11:27:43 AM
130,130,154, 2023-09-18 11:27:43 AM
130,130,152, 2023-09-18 11:27:43 AM
130,130,154, 2023-09-18 11:27:43 AM
130,130,153, 2023-09-18 11:27:43 AM
131,129,154, 2023-09-18 11:27:43 AM
131,129,153, 2023-09-18 11:27:43 AM
131,128,153, 2023-09-18 11:27:43 AM
130,129,153, 2023-09-18 11:27:43 AM
130,129,153, 2023-09-18 11:27:43 AM
129,129,153, 2023-09-18 11:27:43 AM
130,128,153, 2023-09-18 11:27:44 AM
131,129,153, 2023-09-18 11:27:44 AM
131,128,153, 2023-09-18 11:27:44 AM
130,129,154, 2023-09-18 11:27:44 AM
131,129,153, 2023-09-18 11:27:44 AM
131,129,153, 2023-09-18 11:27:44 AM
130,129,153, 2023-09-18 11:27:44 AM
131,129,153, 2023-09-18 11:27:44 AM
130,128,153, 2023-09-18 11:27:44 AM
131,128,153, 2023-09-18 11:27:44 AM
130,129,153, 2023-09-18 11:27:44 AM
131,128,154, 2023-09-18 11:27:44 AM
130,129,153, 2023-09-18 11:27:44 AM
130,129,153, 2023-09-18 11:27:44 AM
131,129,153, 2023-09-18 11:27:44 AM
131,129,153, 2023-09-18 11:27:44 AM
131,129,153, 2023-09-18 11:27:44 AM
