Ax, Ay, Az, Timestamp
132,124,151, 2023-09-18 11:28:03 AM
133,123,152, 2023-09-18 11:28:03 AM
133,123,152, 2023-09-18 11:28:03 AM
133,124,152, 2023-09-18 11:28:03 AM
133,124,152, 2023-09-18 11:28:03 AM
133,124,151, 2023-09-18 11:28:03 AM
133,124,152, 2023-09-18 11:28:03 AM
133,124,151, 2023-09-18 11:28:03 AM
133,124,152, 2023-09-18 11:28:03 AM
133,124,151, 2023-09-18 11:28:03 AM
132,124,151, 2023-09-18 11:28:03 AM
133,124,151, 2023-09-18 11:28:03 AM
134,124,151, 2023-09-18 11:28:03 AM
135,123,151, 2023-09-18 11:28:03 AM
135,122,155, 2023-09-18 11:28:03 AM
101,135,197, 2023-09-18 11:28:03 AM
53,199,174, 2023-09-18 11:28:04 AM
158,144,145, 2023-09-18 11:28:04 AM
210,78,138, 2023-09-18 11:28:04 AM
145,128,128, 2023-09-18 11:28:04 AM
135,129,150, 2023-09-18 11:28:04 AM
139,129,152, 2023-09-18 11:28:04 AM
144,123,151, 2023-09-18 11:28:04 AM
137,130,153, 2023-09-18 11:28:04 AM
133,127,162, 2023-09-18 11:28:04 AM
120,74,122, 2023-09-18 11:28:04 AM
162,19,104, 2023-09-18 11:28:04 AM
170,146,158, 2023-09-18 11:28:04 AM
144,195,174, 2023-09-18 11:28:04 AM
141,173,158, 2023-09-18 11:28:04 AM
139,150,153, 2023-09-18 11:28:04 AM
139,136,146, 2023-09-18 11:28:04 AM
137,127,147, 2023-09-18 11:28:04 AM
136,125,143, 2023-09-18 11:28:04 AM
137,123,172, 2023-09-18 11:28:04 AM
166,171,248, 2023-09-18 11:28:04 AM
196,141,215, 2023-09-18 11:28:04 AM
185,156,142, 2023-09-18 11:28:04 AM
156,127,43, 2023-09-18 11:28:04 AM
101,95,60, 2023-09-18 11:28:04 AM
106,134,132, 2023-09-18 11:28:04 AM
125,132,166, 2023-09-18 11:28:05 AM
125,131,156, 2023-09-18 11:28:05 AM
123,122,147, 2023-09-18 11:28:05 AM
124,121,150, 2023-09-18 11:28:05 AM
130,122,155, 2023-09-18 11:28:05 AM
130,123,156, 2023-09-18 11:28:05 AM
127,124,153, 2023-09-18 11:28:05 AM
124,126,154, 2023-09-18 11:28:05 AM
127,126,154, 2023-09-18 11:28:05 AM
124,127,154, 2023-09-18 11:28:05 AM
126,125,154, 2023-09-18 11:28:05 AM
126,125,153, 2023-09-18 11:28:05 AM
125,125,153, 2023-09-18 11:28:05 AM
124,123,153, 2023-09-18 11:28:05 AM
125,124,154, 2023-09-18 11:28:05 AM
125,125,154, 2023-09-18 11:28:05 AM
125,126,153, 2023-09-18 11:28:05 AM
125,125,153, 2023-09-18 11:28:05 AM
126,126,153, 2023-09-18 11:28:05 AM
126,126,153, 2023-09-18 11:28:05 AM
127,127,154, 2023-09-18 11:28:05 AM
126,128,156, 2023-09-18 11:28:05 AM
127,128,155, 2023-09-18 11:28:05 AM
125,127,155, 2023-09-18 11:28:05 AM
125,126,153, 2023-09-18 11:28:05 AM
126,125,153, 2023-09-18 11:28:06 AM
126,125,154, 2023-09-18 11:28:06 AM
127,125,153, 2023-09-18 11:28:06 AM
126,125,153, 2023-09-18 11:28:06 AM
125,125,153, 2023-09-18 11:28:06 AM
125,126,154, 2023-09-18 11:28:06 AM
127,126,154, 2023-09-18 11:28:06 AM
126,126,153, 2023-09-18 11:28:06 AM
126,126,154, 2023-09-18 11:28:06 AM
125,127,153, 2023-09-18 11:28:06 AM
125,126,153, 2023-09-18 11:28:06 AM
125,126,152, 2023-09-18 11:28:06 AM
125,126,153, 2023-09-18 11:28:06 AM
126,126,154, 2023-09-18 11:28:06 AM
126,126,154, 2023-09-18 11:28:06 AM
126,126,154, 2023-09-18 11:28:06 AM
125,127,153, 2023-09-18 11:28:06 AM
125,126,153, 2023-09-18 11:28:06 AM
126,126,153, 2023-09-18 11:28:06 AM
126,127,154, 2023-09-18 11:28:06 AM
126,126,154, 2023-09-18 11:28:06 AM
125,126,153, 2023-09-18 11:28:06 AM
125,126,154, 2023-09-18 11:28:06 AM
126,126,153, 2023-09-18 11:28:06 AM
126,126,153, 2023-09-18 11:28:06 AM
126,126,153, 2023-09-18 11:28:07 AM
125,126,153, 2023-09-18 11:28:07 AM
126,126,154, 2023-09-18 11:28:07 AM
125,126,153, 2023-09-18 11:28:07 AM
126,126,154, 2023-09-18 11:28:07 AM
126,126,153, 2023-09-18 11:28:07 AM
125,126,153, 2023-09-18 11:28:07 AM
126,126,154, 2023-09-18 11:28:07 AM
125,126,153, 2023-09-18 11:28:07 AM
126,126,154, 2023-09-18 11:28:07 AM
126,126,153, 2023-09-18 11:28:07 AM
126,126,153, 2023-09-18 11:28:07 AM
126,126,153, 2023-09-18 11:28:07 AM
126,127,153, 2023-09-18 11:28:07 AM
126,126,154, 2023-09-18 11:28:07 AM
126,126,153, 2023-09-18 11:28:07 AM
126,126,153, 2023-09-18 11:28:07 AM
126,126,153, 2023-09-18 11:28:07 AM
126,127,153, 2023-09-18 11:28:07 AM
126,127,153, 2023-09-18 11:28:07 AM
