Ax, Ay, Az, Timestamp
123,102,130, 2023-09-18 11:25:41 AM
122,101,130, 2023-09-18 11:25:41 AM
122,101,130, 2023-09-18 11:25:41 AM
122,101,130, 2023-09-18 11:25:41 AM
123,100,130, 2023-09-18 11:25:42 AM
123,101,130, 2023-09-18 11:25:42 AM
123,101,130, 2023-09-18 11:25:42 AM
122,101,131, 2023-09-18 11:25:42 AM
122,101,130, 2023-09-18 11:25:42 AM
121,101,130, 2023-09-18 11:25:42 AM
122,100,129, 2023-09-18 11:25:42 AM
122,100,130, 2023-09-18 11:25:42 AM
122,101,129, 2023-09-18 11:25:42 AM
122,101,130, 2023-09-18 11:25:42 AM
123,100,130, 2023-09-18 11:25:42 AM
122,101,130, 2023-09-18 11:25:42 AM
122,101,130, 2023-09-18 11:25:42 AM
123,101,129, 2023-09-18 11:25:42 AM
124,100,129, 2023-09-18 11:25:42 AM
126,100,129, 2023-09-18 11:25:42 AM
126,100,130, 2023-09-18 11:25:42 AM
122,96,132, 2023-09-18 11:25:42 AM
32,106,163, 2023-09-18 11:25:42 AM
17,130,146, 2023-09-18 11:25:42 AM
208,99,130, 2023-09-18 11:25:42 AM
198,104,94, 2023-09-18 11:25:42 AM
146,112,126, 2023-09-18 11:25:42 AM
137,105,139, 2023-09-18 11:25:42 AM
123,107,141, 2023-09-18 11:25:42 AM
129,99,133, 2023-09-18 11:25:43 AM
125,103,133, 2023-09-18 11:25:43 AM
130,97,133, 2023-09-18 11:25:43 AM
127,100,131, 2023-09-18 11:25:43 AM
128,98,132, 2023-09-18 11:25:43 AM
129,98,130, 2023-09-18 11:25:43 AM
129,99,131, 2023-09-18 11:25:43 AM
128,100,130, 2023-09-18 11:25:43 AM
128,100,132, 2023-09-18 11:25:43 AM
128,100,131, 2023-09-18 11:25:43 AM
128,102,132, 2023-09-18 11:25:43 AM
127,101,133, 2023-09-18 11:25:43 AM
128,101,132, 2023-09-18 11:25:43 AM
126,103,133, 2023-09-18 11:25:43 AM
126,103,131, 2023-09-18 11:25:43 AM
126,102,132, 2023-09-18 11:25:43 AM
127,103,131, 2023-09-18 11:25:43 AM
127,102,131, 2023-09-18 11:25:43 AM
127,102,132, 2023-09-18 11:25:43 AM
127,102,131, 2023-09-18 11:25:43 AM
128,101,131, 2023-09-18 11:25:43 AM
127,102,130, 2023-09-18 11:25:43 AM
127,101,132, 2023-09-18 11:25:43 AM
127,101,131, 2023-09-18 11:25:43 AM
128,100,131, 2023-09-18 11:25:44 AM
128,100,131, 2023-09-18 11:25:44 AM
127,101,131, 2023-09-18 11:25:44 AM
128,100,131, 2023-09-18 11:25:44 AM
127,101,131, 2023-09-18 11:25:44 AM
127,101,131, 2023-09-18 11:25:44 AM
127,101,131, 2023-09-18 11:25:44 AM
127,101,131, 2023-09-18 11:25:44 AM
128,101,131, 2023-09-18 11:25:44 AM
127,101,131, 2023-09-18 11:25:44 AM
127,102,132, 2023-09-18 11:25:44 AM
127,102,131, 2023-09-18 11:25:44 AM
127,102,132, 2023-09-18 11:25:44 AM
127,101,132, 2023-09-18 11:25:44 AM
127,101,132, 2023-09-18 11:25:44 AM
127,101,132, 2023-09-18 11:25:44 AM
127,101,131, 2023-09-18 11:25:44 AM
128,101,132, 2023-09-18 11:25:44 AM
128,101,131, 2023-09-18 11:25:44 AM
128,101,131, 2023-09-18 11:25:44 AM
128,101,131, 2023-09-18 11:25:44 AM
127,101,131, 2023-09-18 11:25:44 AM
128,101,131, 2023-09-18 11:25:44 AM
127,101,130, 2023-09-18 11:25:44 AM
127,101,130, 2023-09-18 11:25:44 AM
128,101,131, 2023-09-18 11:25:45 AM
128,101,130, 2023-09-18 11:25:45 AM
128,101,131, 2023-09-18 11:25:45 AM
127,101,131, 2023-09-18 11:25:45 AM
127,101,131, 2023-09-18 11:25:45 AM
127,101,131, 2023-09-18 11:25:45 AM
128,101,131, 2023-09-18 11:25:45 AM
128,101,131, 2023-09-18 11:25:45 AM
128,101,131, 2023-09-18 11:25:45 AM
128,101,131, 2023-09-18 11:25:45 AM
128,101,131, 2023-09-18 11:25:45 AM
128,101,131, 2023-09-18 11:25:45 AM
128,101,130, 2023-09-18 11:25:45 AM
128,101,131, 2023-09-18 11:25:45 AM
128,101,131, 2023-09-18 11:25:45 AM
127,101,131, 2023-09-18 11:25:45 AM
128,101,131, 2023-09-18 11:25:45 AM
128,101,131, 2023-09-18 11:25:45 AM
128,101,131, 2023-09-18 11:25:45 AM
128,101,131, 2023-09-18 11:25:45 AM
128,101,131, 2023-09-18 11:25:45 AM
128,101,131, 2023-09-18 11:25:45 AM
